start_date,from_station_name,trips,rank
2019-10-26,Clark St & Elm St,40,1
2019-10-26,Kingsbury St & Kinzie St,34,2
2019-10-26,Dearborn St & Erie St,34,3
2019-10-27,Lake Shore Dr & Monroe St,254,1
2019-10-27,Streeter Dr & Grand Ave,244,2
2019-10-27,Michigan Ave & Oak St,114,3
2019-10-28,Canal St & Adams St,283,1
2019-10-28,Clinton St & Washington Blvd,229,2
2019-10-28,Clinton St & Madison St,225,3
2019-10-29,Canal St & Adams St,229,1
2019-10-29,Clinton St & Madison St,180,2
2019-10-29,Clinton St & Washington Blvd,173,3
2019-10-30,Canal St & Adams St,101,1
2019-10-30,Clinton St & Madison St,80,2
2019-10-30,Columbus Dr & Randolph St,71,3
2019-10-31,Canal St & Adams St,78,1
2019-10-31,Clinton St & Washington Blvd,74,2
2019-10-31,Clinton St & Madison St,70,3
2019-11-01,Canal St & Adams St,144,1
2019-11-01,Clinton St & Washington Blvd,133,2
2019-11-01,Clinton St & Madison St,119,3
2019-11-02,Streeter Dr & Grand Ave,96,1
2019-11-02,Lake Shore Dr & Monroe St,87,2
2019-11-02,Dusable Harbor,52,3
2019-11-03,Lake Shore Dr & Monroe St,125,1
2019-11-03,Streeter Dr & Grand Ave,87,2
2019-11-03,Shedd Aquarium,63,3
2019-11-04,Canal St & Adams St,283,1
2019-11-04,Clinton St & Washington Blvd,223,2
2019-11-04,Clinton St & Madison St,198,3
2019-11-05,Canal St & Adams St,245,1
2019-11-05,Clinton St & Madison St,200,2
2019-11-05,Clinton St & Washington Blvd,175,3
2019-11-06,Canal St & Adams St,235,1
2019-11-06,Clinton St & Madison St,189,2
2019-11-06,Clinton St & Washington Blvd,170,3
2019-11-07,Canal St & Adams St,192,1
2019-11-07,Clinton St & Madison St,162,2
2019-11-07,Clinton St & Washington Blvd,150,3
2019-11-08,Canal St & Adams St,163,1
2019-11-08,Clinton St & Washington Blvd,134,2
2019-11-08,Clinton St & Madison St,113,3
2019-11-09,Lake Shore Dr & Monroe St,119,1
2019-11-09,Streeter Dr & Grand Ave,101,2
2019-11-09,Shedd Aquarium,69,3
2019-11-10,Shedd Aquarium,89,1
2019-11-10,Lake Shore Dr & Monroe St,75,2
2019-11-10,Field Museum,61,3
2019-11-11,Canal St & Adams St,59,1
2019-11-11,Clinton St & Washington Blvd,54,2
2019-11-11,Clinton St & Madison St,37,3
2019-11-12,Canal St & Adams St,102,1
2019-11-12,Clinton St & Washington Blvd,93,2
2019-11-12,Clinton St & Madison St,67,3
2019-11-13,Canal St & Adams St,117,1
2019-11-13,Clinton St & Madison St,85,2
2019-11-13,Clinton St & Washington Blvd,85,3
2019-11-14,Canal St & Adams St,136,1
2019-11-14,Clinton St & Madison St,121,2
2019-11-14,Clinton St & Washington Blvd,116,3
2019-11-15,Canal St & Adams St,135,1
2019-11-15,Clinton St & Washington Blvd,117,2
2019-11-15,Clinton St & Madison St,113,3
2019-11-16,Lake Shore Dr & Monroe St,79,1
2019-11-16,Streeter Dr & Grand Ave,45,2
2019-11-16,Shedd Aquarium,44,3
2019-11-17,Kingsbury St & Kinzie St,40,1
2019-11-17,Wabash Ave & Grand Ave,39,2
2019-11-17,Lake Shore Dr & Monroe St,36,3
2019-11-18,Canal St & Adams St,217,1
2019-11-18,Clinton St & Madison St,165,2
2019-11-18,Clinton St & Washington Blvd,148,3
2019-11-19,Canal St & Adams St,215,1
2019-11-19,Clinton St & Madison St,159,2
2019-11-19,Clinton St & Washington Blvd,158,3
2019-11-20,Canal St & Adams St,207,1
2019-11-20,Clinton St & Madison St,180,2
2019-11-20,Clinton St & Washington Blvd,171,3
2019-11-21,Canal St & Adams St,141,1
2019-11-21,Clinton St & Washington Blvd,127,2
2019-11-21,Clinton St & Madison St,121,3
2019-11-22,Canal St & Adams St,173,1
2019-11-22,Clinton St & Washington Blvd,138,2
2019-11-22,Clinton St & Madison St,134,3
2019-11-23,Streeter Dr & Grand Ave,51,1
2019-11-23,Clark St & Elm St,50,2
2019-11-23,Wells St & Concord Ln,43,3
2019-11-24,Lake Shore Dr & Monroe St,105,1
2019-11-24,Streeter Dr & Grand Ave,81,2
2019-11-24,Shedd Aquarium,67,3
2019-11-25,Canal St & Adams St,219,1
2019-11-25,Clinton St & Washington Blvd,167,2
2019-11-25,Clinton St & Madison St,158,3
2019-11-26,Canal St & Adams St,198,1
2019-11-26,Clinton St & Washington Blvd,132,2
2019-11-26,Clinton St & Madison St,122,3
2019-11-27,Canal St & Adams St,90,1
2019-11-27,Clinton St & Washington Blvd,81,2
2019-11-27,Clinton St & Madison St,66,3
2019-11-28,Lake Shore Dr & Monroe St,35,1
2019-11-28,Clark St & Elm St,21,2
2019-11-28,Franklin St & Jackson Blvd,21,3
2019-11-29,Millennium Park,38,1
2019-11-29,Canal St & Adams St,33,2
2019-11-29,Streeter Dr & Grand Ave,33,3
2019-11-30,Shedd Aquarium,19,1
2019-11-30,Desplaines St & Kinzie St,18,2
2019-11-30,Dearborn St & Erie St,16,3
2019-12-01,Dearborn St & Erie St,29,1
2019-12-01,Kingsbury St & Kinzie St,21,2
2019-12-01,Wabash Ave & Grand Ave,21,3
2019-12-02,Canal St & Adams St,178,1
2019-12-02,Clinton St & Madison St,152,2
2019-12-02,Clinton St & Washington Blvd,129,3
2019-12-03,Canal St & Adams St,214,1
2019-12-03,Clinton St & Madison St,156,2
2019-12-03,Clinton St & Washington Blvd,146,3
2019-12-04,Canal St & Adams St,215,1
2019-12-04,Clinton St & Washington Blvd,157,2
2019-12-04,Clinton St & Madison St,149,3
2019-12-05,Canal St & Adams St,206,1
2019-12-05,Clinton St & Madison St,169,2
2019-12-05,Clinton St & Washington Blvd,148,3
2019-12-06,Canal St & Adams St,172,1
2019-12-06,Clinton St & Washington Blvd,138,2
2019-12-06,Clinton St & Madison St,119,3
2019-12-07,Kingsbury St & Kinzie St,47,1
2019-12-07,Lake Shore Dr & Monroe St,42,2
2019-12-07,Desplaines St & Kinzie St,37,3
2019-12-08,Streeter Dr & Grand Ave,51,1
2019-12-08,Lake Shore Dr & Monroe St,38,2
2019-12-08,Columbus Dr & Randolph St,37,3
2019-12-09,Canal St & Adams St,170,1
2019-12-09,Clinton St & Madison St,147,2
2019-12-09,Clinton St & Washington Blvd,147,3
2019-12-10,Canal St & Adams St,140,1
2019-12-10,Clinton St & Madison St,127,2
2019-12-10,Clinton St & Washington Blvd,105,3
2019-12-11,Canal St & Adams St,132,1
2019-12-11,Clinton St & Madison St,113,2
2019-12-11,Clinton St & Washington Blvd,106,3
2019-12-12,Canal St & Adams St,165,1
2019-12-12,Clinton St & Madison St,126,2
2019-12-12,Clinton St & Washington Blvd,115,3
2019-12-13,Canal St & Adams St,155,1
2019-12-13,Clinton St & Washington Blvd,144,2
2019-12-13,Clinton St & Madison St,111,3
2019-12-14,Wells St & Concord Ln,41,1
2019-12-14,Kingsbury St & Kinzie St,37,2
2019-12-14,Clark St & Elm St,36,3
2019-12-15,Kingsbury St & Kinzie St,39,1
2019-12-15,Desplaines St & Kinzie St,34,2
2019-12-15,Clark St & Elm St,32,3
2019-12-16,Canal St & Adams St,158,1
2019-12-16,Clinton St & Madison St,122,2
2019-12-16,Clinton St & Washington Blvd,103,3
2019-12-17,Canal St & Adams St,153,1
2019-12-17,Clinton St & Madison St,144,2
2019-12-17,Clinton St & Washington Blvd,124,3
2019-12-18,Canal St & Adams St,123,1
2019-12-18,Clinton St & Madison St,115,2
2019-12-18,Clinton St & Washington Blvd,94,3
2019-12-19,Canal St & Adams St,133,1
2019-12-19,Clinton St & Madison St,123,2
2019-12-19,Clinton St & Washington Blvd,95,3
2019-12-20,Canal St & Adams St,131,1
2019-12-20,Clinton St & Washington Blvd,109,2
2019-12-20,Clinton St & Madison St,94,3
2019-12-21,Streeter Dr & Grand Ave,63,1
2019-12-21,Kingsbury St & Kinzie St,47,2
2019-12-21,Wells St & Concord Ln,46,3
2019-12-22,Shedd Aquarium,87,1
2019-12-22,Lake Shore Dr & Monroe St,79,2
2019-12-22,Streeter Dr & Grand Ave,70,3
2019-12-23,Canal St & Adams St,109,1
2019-12-23,Clinton St & Madison St,87,2
2019-12-23,Clinton St & Washington Blvd,78,3
2019-12-24,Streeter Dr & Grand Ave,38,1
2019-12-24,Clinton St & Washington Blvd,38,2
2019-12-24,Daley Center Plaza,34,3
2019-12-25,Streeter Dr & Grand Ave,136,1
2019-12-25,Millennium Park,76,2
2019-12-25,Lake Shore Dr & Monroe St,64,3
2019-12-26,Streeter Dr & Grand Ave,165,1
2019-12-26,Lake Shore Dr & Monroe St,104,2
2019-12-26,Columbus Dr & Randolph St,88,3
2019-12-27,Streeter Dr & Grand Ave,67,1
2019-12-27,Canal St & Adams St,61,2
2019-12-27,Clinton St & Washington Blvd,61,3
2019-12-28,Lake Shore Dr & Monroe St,55,1
2019-12-28,Kingsbury St & Kinzie St,39,2
2019-12-28,Streeter Dr & Grand Ave,29,3
2019-12-29,Lake Shore Dr & Monroe St,129,1
2019-12-29,Streeter Dr & Grand Ave,100,2
2019-12-29,Shedd Aquarium,69,3
2019-12-30,Canal St & Adams St,74,1
2019-12-30,Clinton St & Washington Blvd,55,2
2019-12-30,Clinton St & Madison St,50,3
2019-12-31,Clinton St & Washington Blvd,36,1
2019-12-31,Kingsbury St & Kinzie St,30,2
2019-12-31,Columbus Dr & Randolph St,28,3
